0;Porto Velho;Rio Branco;Manaus;Boa Vista;Belém;Macapá;Palmas;São Luís;Teresina;Fortaleza;Natal;João Pessoa;Recife;Maceió;Aracaju;Salvador;Belo Horizonte;Vitória;Rio de Janeiro;São Paulo;Curitiba;Florianópolis;Porto Alegre;Campo Grande;Cuiabá;Goiânia;Brasília
1872;0;0;29334;0;61997;0;0;31604;21692;42458;20392;24714;116671;27703;9559;129109;0;16157;274972;31385;12651;25709;43998;0;35987;0;0
1890;0;0;38720;0;50064;0;0;29308;31523;40902;13725;18645;111556;31498;16336;174412;0;16887;522651;64934;24553;30687;52421;0;17815;0;0
1900;0;0;50300;0;96560;0;0;36798;45316;48369;16056;28793;113106;36427;21132;205813;13472;11850;811443;239820;49755;32229;73674;0;34393;0;0
1920;0;19930;75704;0;236402;0;0;52929;57500;78536;30696;52990;238843;74166;37440;283422;55563;21866;1157873;579033;78986;41338;179263;0;33678;0;0
1940;0;16038;106399;0;206331;0;0;85583;67641;180185;54836;94333;348424;90253;59031;290443;211377;45212;1764141;1326261;140656;46771;272232;49629;54394;48166;0
1950;27244;28246;139620;17247;254949;20594;0;119785;90723;270169;103215;119326;524682;120980;78364;417235;352724;50922;2377451;2198096;180575;67630;394151;57033;56204;53389;0
1960;51049;47882;175343;26168;402170;46905;0;159628;144799;514818;162537;155117;797234;170134;115713;655735;693328;85242;3307163;3825351;361309;98520;641173;74249;57860;153505;141742
1970;88856;84845;314197;37062;642514;87755;0;270651;230168;872702;270127;228418;1084459;269415;186838;1027142;1255415;136391;4315746;5978977;624362;143414;903175;143271;103427;389784;546015
1980;138289;119815;642492;69627;949545;140624;3288;460320;388922;1338793;428721;338629;1240937;409191;299422;1531242;1822221;215073;5183992;8587665;1052147;196055;1158709;298878;219477;738117;1203333
1991;286471;196871;1010544;142902;1244688;179252;24261;695199;598411;1765794;606681;497306;1296995;628241;401676;2072058;2017127;258243;5473909;9626894;1313094;254941;1263239;525463;401303;920840;1598415
2000;334585;252885;1403796;200383;1279861;282745;137045;868047;714583;2138234;709536;595429;1421993;796842;461083;2440828;2232747;291941;5851914;10405867;1586848;341781;1360033;662534;483044;1090737;2043169
2010;428527;336038;1802014;284313;1393399;398204;228332;1014837;814230;2452185;803739;723515;1537704;932748;571149;2675656;2375151;327801;6320446;11253503;1751907;421240;1409351;786797;551098;1302001;2570160
2020;539354;413418;2219580;419652;1499641;512902;306296;1108975;868075;2686612;890480;817511;1653461;1025360;664908;2886698;2521564;365855;6747815;12325232;1948626;508826;1488252;906092;618124;1536097;3055149
